Client ID,FL Round,Training Time,Communication Time,Total Time
6401660771754244585,0,21.96607208251953,54.536091566085815,76.50216364860535
-5849515837680893706,0,22.082120895385742,54.75728392601013,76.83940482139587
8069979894253689417,0,22.128194570541382,54.76029944419861,76.88849401473999
-8335545405388800190,0,22.216261863708496,55.17929005622864,77.39555191993713
-9159437374358318411,0,18.973933458328247,41.40497708320618,60.378910541534424
-5849515837680893706,0,29.033758401870728,63.62429690361023,92.65805530548096
-8335545405388800190,0,29.327645301818848,64.00236129760742,93.33000659942627
8069979894253689417,0,29.439801931381226,64.16901111602783,93.60881304740906
6401660771754244585,0,29.190558195114136,64.23860621452332,93.42916440963745
-9159437374358318411,0,19.242726802825928,42.50657558441162,61.74930238723755
