Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
Client 1 - A,2,196,4.560000000000002,200.56,58,taskA,3238.0,0.24,0.21,20649.0,0.25,0.22,328.0,465.0
Client 2 - A,2,201,0.5200000000000387,201.52000000000004,58,taskA,,,,,,,,
Client 1 - B,2,328,136.75,465.0,54,taskB,2629.0,0.38,0.36,16761.0,0.38,0.36,328.0,465.0
Client 2 - B,2,201,263.52,465.0,61,taskB,,,,,,,,
Client 1 - A,3,181,0.0,181.0,55,taskA,2653.0,0.38,0.36,16908.0,0.38,0.36,328.0,437.0
Client 2 - A,3,179,0.0,179.0,54,taskA,,,,,,,,
Client 1 - B,3,328,109.25,437.0,51,taskB,,,,,,,,
Client 2 - B,3,186,250.44,437.0,70,taskB,2469.0,0.43,0.41,15740.0,0.43,0.41,328.0,437.0
Client 1 - A,4,145,0.0,145.0,54,taskA,2401.0,0.44,0.43,15341.0,0.44,0.42,262.0,362.0
Client 2 - A,4,147,0.0,147.0,54,taskA,,,,,,,,
Client 1 - B,4,262,99.96,362.0,59,taskB,,,,,,,,
Client 2 - B,4,146,215.82,362.0,71,taskB,2171.0,0.5,0.49,13979.0,0.5,0.49,262.0,362.0
