Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
Client 1 - A,1,237,598.97,835.97,35,taskA,,,,,,,,839.0
Client 2 - A,1,193,642.76,835.76,40,taskA,,,,,,,,839.0
Client 3 - A,1,209,627.42,836.42,39,taskA,3247.0,0.24,0.19,20692.0,0.25,0.2,237.0,839.0
Client 4 - A,1,236,599.78,835.78,38,taskA,,,,,,,,839.0
Client 5 - A,1,217,618.72,835.72,40,taskA,,,,,,,,839.0
Client 1 - A,2,294,476.66,770.6600000000001,27,taskA,,,,,,,,771.0
Client 2 - A,2,242,528.75,770.75,33,taskA,,,,,,,,771.0
Client 3 - A,2,310,461.01,771.01,23,taskA,2691.0,0.37,0.36,17145.0,0.37,0.36,312.0,771.0
Client 4 - A,2,269,501.86,770.86,27,taskA,,,,,,,,771.0
Client 5 - A,2,312,458.6,770.6,27,taskA,,,,,,,,771.0
Client 1 - A,3,232,314.28,546.28,28,taskA,,,,,,,,547.0
Client 2 - A,3,204,343.07,547.0699999999999,32,taskA,,,,,,,,547.0
Client 3 - A,3,231,316.02,547.02,27,taskA,,,,,,,,547.0
Client 4 - A,3,240,306.97,546.97,28,taskA,,,,,,,,547.0
Client 5 - A,3,228,318.81,546.81,27,taskA,2400.0,0.44,0.43,15345.0,0.44,0.43,240.0,547.0
Client 1 - A,4,224,309.73,533.73,31,taskA,2222.0,0.49,0.48,14298.0,0.48,0.48,228.0,534.0
Client 2 - A,4,196,337.71,533.71,34,taskA,,,,,,,,534.0
Client 3 - A,4,215,318.38,533.38,27,taskA,,,,,,,,534.0
Client 4 - A,4,228,305.94,533.94,28,taskA,,,,,,,,534.0
Client 5 - A,4,221,312.77,533.77,35,taskA,,,,,,,,534.0
Client 1 - A,5,230,360.81,590.81,26,taskA,,,,,,,,591.0
Client 2 - A,5,201,389.6,590.6,38,taskA,,,,,,,,591.0
Client 3 - A,5,219,371.76,590.76,31,taskA,,,,,,,,591.0
Client 4 - A,5,235,355.82,590.8199999999999,48,taskA,2118.0,0.51,0.5,13717.0,0.51,0.5,235.0,591.0
Client 5 - A,5,221,369.55,590.55,29,taskA,,,,,,,,591.0
Client 1 - A,6,236,342.0,578.0,26,taskA,,,,,,,,578.0
Client 2 - A,6,192,385.59,577.5899999999999,36,taskA,1992.0,0.54,0.54,13053.0,0.54,0.53,236.0,578.0
Client 3 - A,6,221,356.85,577.85,30,taskA,,,,,,,,578.0
Client 4 - A,6,234,344.1,578.1,30,taskA,,,,,,,,578.0
Client 5 - A,6,225,353.14,578.14,29,taskA,,,,,,,,578.0
Client 1 - A,7,234,368.53,602.53,26,taskA,,,,,,,,603.0
Client 2 - A,7,195,407.22,602.22,35,taskA,1924.0,0.56,0.55,12726.0,0.55,0.54,241.0,603.0
Client 3 - A,7,211,391.67,602.6700000000001,29,taskA,,,,,,,,603.0
Client 4 - A,7,241,361.84,602.8399999999999,29,taskA,,,,,,,,603.0
Client 5 - A,7,213,389.77,602.77,28,taskA,,,,,,,,603.0
Client 1 - A,8,230,350.93,580.9300000000001,26,taskA,,,,,,,,581.0
Client 2 - A,8,197,384.41,581.4100000000001,35,taskA,,,,,,,,581.0
Client 3 - A,8,218,363.78,581.78,29,taskA,1832.0,0.58,0.58,12281.0,0.57,0.56,232.0,581.0
Client 4 - A,8,232,349.13,581.13,24,taskA,,,,,,,,581.0
Client 5 - A,8,220,361.67,581.6700000000001,29,taskA,,,,,,,,581.0
Client 1 - A,9,228,389.08,617.0799999999999,27,taskA,,,,,,,,617.0
Client 2 - A,9,194,423.47,617.47,34,taskA,,,,,,,,617.0
Client 3 - A,9,221,396.53,617.53,29,taskA,,,,,,,,617.0
Client 4 - A,9,235,381.68,616.6800000000001,28,taskA,,,,,,,,617.0
Client 5 - A,9,226,391.42,617.4200000000001,26,taskA,1744.0,0.6,0.6,11813.0,0.59,0.58,235.0,617.0
Client 1 - A,10,236,361.01,597.01,28,taskA,,,,,,,,597.0
Client 2 - A,10,192,405.0,597.0,34,taskA,,,,,,,,597.0
Client 3 - A,10,225,371.86,596.86,24,taskA,,,,,,,,597.0
Client 4 - A,10,228,368.42,596.4200000000001,26,taskA,1675.0,0.62,0.62,11512.0,0.6,0.59,236.0,597.0
Client 5 - A,10,226,370.55,596.55,28,taskA,,,,,,,,597.0
