Client ID,FL Round,Training Time,Communication Time,Total Time
client 1,1,21.78,48.42,70.2
client 2,1,21.86,48.57,70.43
client 3,1,22.13,48.83,70.96
client 4,1,22.16,49.23,71.4
client 5,1,22.62,50.04,72.66
client 6,1,22.63,49.98,72.61
client 7,1,23.02,50.87,73.89
client 8,1,23.16,51.26,74.42
client 9,1,22.38,48.59,70.97
client 10,1,22.58,48.78,71.36
client 11,1,22.54,48.91,71.45
client 12,1,22.7,49.23,71.94
client 13,1,21.62,50.82,72.44
client 14,1,21.66,51.99,73.65
client 15,1,21.82,53.24,75.07
client 16,1,22.15,55.57,77.72
client 17,1,44.47,98.84,143.31
client 18,1,44.84,100.41,145.25
client 19,1,44.95,99.78,144.73
client 4,1,47.94,106.03,153.97
client 12,2,47.9,106.16,154.05
client 3,2,48.34,107.05,155.39
client 20,2,48.69,107.29,155.98
client 13,2,45.21,103.65,148.86
client 7,2,45.1,103.67,148.77
client 15,2,45.55,103.95,149.49
client 8,2,45.7,104.31,150.01
client 10,2,45.46,105.18,150.65
client 17,2,45.59,105.27,150.86
client 16,2,46.13,106.61,152.74
client 11,2,46.06,106.75,152.82
client 1,2,52.28,109.48,161.76
client 18,2,52.47,109.82,162.29
client 19,2,52.47,109.72,162.18
client 2,2,53.29,110.69,163.98
client 5,2,44.79,100.29,145.07
client 9,2,44.85,100.33,145.18
client 6,2,44.96,100.46,145.42
client 14,2,45.21,100.53,145.73
