Client ID,FL Round,Training Time,Communication Time,Total Time,CPU Usage (%)
client 1,1,19.85,42.2,62.05,30.1
client 2,1,19.83,42.21,62.04,30.1
client 1,2,18.37,41.24,59.61,11.4
client 2,2,18.54,41.5,60.04,11.35
client 2,3,18.4,41.57,59.97,15.7
client 1,3,18.43,41.78,60.21,14.05
client 2,4,18.9,42.04,60.94,13.65
client 1,4,19.01,42.3,61.31,13.95
client 2,5,19.29,42.58,61.86,15.25
client 1,5,19.36,42.78,62.14,13.9
client 2,6,19.95,44.72,64.67,19.95
client 1,6,20.11,45.38,65.49,18.25
client 2,7,20.62,46.96,67.58,20.35
client 1,7,20.64,47.07,67.71,17.099999999999998
client 1,8,22.39,49.42,71.81,12.45
client 2,8,22.33,49.61,71.95,12.65
