Client ID,FL Round,Training Time,Communication Time,Total Time,CPU Usage (%)
client 1,1,22.15,49.01,71.17,57.1
client 2,1,22.32,49.24,71.56,56.85
client 3,1,22.24,49.26,71.5,56.85
client 4,1,23.04,50.29,73.33,56.8
client 5,1,22.38,48.82,71.21,99.3
client 6,1,22.67,49.45,72.12,84.6
client 7,1,22.8,49.57,72.37,76.6
client 8,1,22.93,49.49,72.42,98.05
client 4,2,24.91,59.95,84.86,56.85
client 6,2,25.19,60.24,85.43,66.35
client 1,2,25.51,60.8,86.31,56.2
client 3,2,25.51,61.3,86.81,55.75
client 2,2,28.82,63.13,91.95,99.0
client 8,2,29.06,63.67,92.73,98.95
client 5,2,29.29,63.59,92.88,92.35
client 7,2,29.24,63.56,92.8,90.6
client 2,3,31.94,68.46,100.4,62.55
client 3,3,32.23,69.23,101.46,51.0
client 4,3,32.28,69.29,101.57,66.1
client 1,3,32.47,69.79,102.26,56.150000000000006
client 5,3,32.8,70.26,103.06,89.15
client 7,3,33.47,71.09,104.56,98.55
client 8,3,33.7,71.28,104.99,98.15
client 6,3,34.05,71.95,106.0,98.1
client 2,4,33.53,70.23,103.76,56.15
client 4,4,32.9,70.33,103.23,63.75
client 1,4,34.29,71.08,105.38,53.95
client 3,4,34.23,71.46,105.69,53.7
client 6,4,32.28,68.09,100.36,99.2
client 5,4,32.44,68.38,100.82,85.5
client 7,4,32.78,68.74,101.52,93.65
client 8,4,32.87,69.05,101.91,78.25
client 4,5,29.73,70.67,100.4,63.95
client 2,5,29.85,71.99,101.84,62.5
client 1,5,30.09,72.71,102.8,54.7
client 3,5,30.37,73.29,103.66,50.9
client 5,5,34.5,72.57,107.07,99.3
client 6,5,34.5,72.28,106.78,98.85
client 7,5,34.58,72.36,106.94,98.4
client 8,5,34.68,72.74,107.42,87.8
client 4,6,34.03,69.93,103.96,56.75
client 2,6,34.9,71.54,106.44,53.45
client 1,6,35.28,71.99,107.27,52.45
client 3,6,35.12,72.11,107.24,51.05
client 5,6,29.11,63.61,92.72,99.4
client 6,6,29.56,63.51,93.07,98.8
client 7,6,29.37,63.75,93.12,98.45
client 8,6,30.06,64.04,94.1,85.7
client 4,7,25.6,57.48,83.09,63.1
client 2,7,25.74,57.69,83.43,56.0
client 1,7,25.99,57.9,83.88,52.3
client 3,7,26.22,58.74,84.96,49.75
client 5,7,27.17,59.14,86.31,99.0
client 6,7,27.45,59.45,86.9,78.8
client 7,7,27.57,59.56,87.12,68.65
client 8,7,28.15,59.87,88.02,82.9
client 4,8,27.8,62.58,90.37,62.3
client 1,8,27.97,62.68,90.66,56.55
client 2,8,28.1,62.78,90.88,58.25
client 3,8,28.42,63.77,92.19,50.75
client 6,8,29.07,63.36,92.43,82.85
client 5,8,29.09,63.58,92.68,91.15
client 7,8,29.44,63.6,93.04,89.35
client 8,8,29.96,63.93,93.89,98.55
