Client ID,FL Round,Training Time,Communication Time,Total Time,CPU Usage (%)
client 1,1,18.76,40.53,59.3,15.65
client 2,1,18.83,40.76,59.59,15.7
client 2,2,17.65,39.15,56.8,21.9
client 1,2,18.05,39.8,57.85,19.2
client 2,3,17.71,39.29,57.0,26.9
client 1,3,17.93,39.74,57.67,22.950000000000003
client 2,4,17.93,39.7,57.63,24.85
client 1,4,18.23,40.29,58.53,21.8
client 2,5,18.59,43.17,61.77,19.5
client 1,5,18.83,43.9,62.73,16.55
client 2,6,21.67,48.77,70.44,16.85
client 1,6,21.91,49.13,71.04,17.2
client 2,7,21.11,48.05,69.16,15.2
client 1,7,21.37,48.69,70.06,13.85
client 2,8,21.36,46.73,68.09,24.0
client 1,8,21.63,47.26,68.89,20.0
