Client ID,FL Round,Training Time,Communication Time,Total Time,CPU Usage (%)
client 1,1,25.92,58.73,84.66,57.95
client 2,1,26.29,59.22,85.51,57.95
client 3,1,26.47,59.4,85.87,58.1
client 4,1,26.45,59.91,86.36,58.05
client 5,1,28.52,63.14,91.66,86.05
client 6,1,28.7,63.06,91.76,79.2
client 7,1,28.69,63.83,92.51,91.75
client 8,1,29.06,64.1,93.16,77.1
client 2,2,29.31,67.31,96.62,63.45
client 3,2,29.52,67.67,97.19,67.35
client 4,2,29.49,67.78,97.27,64.65
client 1,2,29.67,68.33,98.01,51.5
client 7,2,28.59,62.23,90.82,99.45
client 6,2,28.62,62.36,90.97,93.15
client 5,2,28.88,62.92,91.81,91.0
client 8,2,28.98,62.7,91.68,98.85
client 4,3,29.21,64.94,94.16,54.85
client 2,3,29.7,65.46,95.16,54.5
client 3,3,29.7,65.67,95.37,57.45
client 1,3,30.0,66.88,96.88,50.15
client 5,3,29.8,63.6,93.4,89.5
client 6,3,29.78,63.24,93.02,92.25
client 7,3,29.66,63.61,93.27,93.8
client 8,3,30.18,63.55,93.73,98.5
client 3,4,29.23,63.23,92.47,60.5
client 2,4,29.28,63.34,92.63,55.8
client 4,4,29.33,63.47,92.8,56.75
client 1,4,29.5,63.96,93.45,50.150000000000006
client 5,4,29.76,67.39,97.15,89.25
client 6,4,29.72,67.31,97.03,99.25
client 7,4,29.88,67.59,97.47,99.15
client 8,4,30.14,67.77,97.91,92.45
client 4,5,28.9,62.41,91.31,58.95
client 3,5,28.85,62.51,91.36,61.45
client 2,5,28.82,62.57,91.39,58.2
client 1,5,29.39,63.21,92.6,53.75
client 5,5,29.02,63.81,92.83,85.2
client 7,5,29.0,63.85,92.85,94.95
client 6,5,29.28,64.04,93.32,94.4
client 8,5,29.61,64.41,94.02,98.75
client 7,6,28.73,62.79,91.52,58.7
client 5,6,28.78,63.12,91.9,57.15
client 8,6,28.99,63.27,92.26,61.400000000000006
client 2,6,29.11,64.0,93.11,53.25
client 1,6,28.88,66.47,95.35,99.6
client 3,6,28.66,66.51,95.18,99.5
client 4,6,28.81,66.77,95.58,99.45
client 6,6,29.31,67.1,96.41,90.4
client 4,7,28.71,64.07,92.77,55.6
client 3,7,28.78,64.33,93.11,60.85
client 2,7,28.81,64.38,93.19,55.05
client 1,7,29.04,64.96,94.0,50.05
client 7,7,29.75,66.48,96.23,91.25
client 5,7,29.78,66.83,96.61,94.6
client 6,7,29.91,67.26,97.18,88.6
client 8,7,30.42,67.32,97.74,98.9
client 4,8,28.52,63.49,92.01,59.95
client 2,8,28.93,64.29,93.22,54.1
client 3,8,28.75,64.41,93.16,60.95
client 1,8,28.8,64.92,93.71,50.2
client 5,8,29.5,65.46,94.96,85.2
client 6,8,29.45,65.39,94.84,99.25
client 7,8,29.82,65.76,95.59,89.15
client 8,8,30.01,65.57,95.58,91.75
