Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Usage (%),Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
Client 1 - A,1,109,329.81,438.81,69,taskA,1563.0,0.24,0.11,765.0,0.17,0.09,309.0,448.0
Client 2 - A,1,92,346.83,438.83,70,taskA,,,,,,,,448.0
Client 3 - A,1,231,208.03,439.03,63,taskA,,,,,,,,448.0
Client 4 - A,1,295,143.91,438.90999999999997,59,taskA,,,,,,,,448.0
Client 5 - A,1,308,131.11,439.11,59,taskA,,,,,,,,448.0
Client 6 - A,1,199,240.02,439.02,65,taskA,,,,,,,,448.0
Client 7 - A,1,309,130.4,439.4,59,taskA,,,,,,,,448.0
Client 8 - A,1,129,310.48,439.48,69,taskA,,,,,,,,448.0
Client 1 - A,2,129,339.99,468.99,53,taskA,,,,,,,,469.0
Client 2 - A,2,103,365.21,468.21,55,taskA,,,,,,,,469.0
Client 3 - A,2,241,227.56,468.56,43,taskA,,,,,,,,469.0
Client 4 - A,2,310,158.24,468.24,34,taskA,,,,,,,,469.0
Client 5 - A,2,325,143.45,468.45,55,taskA,,,,,,,,469.0
Client 6 - A,2,204,264.97,468.97,46,taskA,,,,,,,,469.0
Client 7 - A,2,322,147.04,469.03999999999996,31,taskA,,,,,,,,469.0
Client 8 - A,2,143,325.47,468.47,53,taskA,1518.0,0.26,0.15,752.0,0.19,0.13,325.0,469.0
Client 1 - A,3,101,391.81,492.81,51,taskA,,,,,,,,493.0
Client 2 - A,3,78,414.52,492.52,55,taskA,,,,,,,,493.0
Client 3 - A,3,199,293.68,492.68,42,taskA,,,,,,,,493.0
Client 4 - A,3,271,221.28,492.28,30,taskA,,,,,,,,493.0
Client 5 - A,3,281,211.87,492.87,26,taskA,1482.0,0.28,0.17,742.0,0.21,0.16,283.0,493.0
Client 6 - A,3,172,320.29,492.29,45,taskA,,,,,,,,493.0
Client 7 - A,3,283,209.37,492.37,29,taskA,,,,,,,,493.0
Client 8 - A,3,103,389.19,492.19,52,taskA,,,,,,,,493.0
Client 1 - A,4,117,376.13,493.13,50,taskA,,,,,,,,493.0
Client 2 - A,4,98,395.84,493.84,53,taskA,,,,,,,,493.0
Client 3 - A,4,276,217.2,493.2,41,taskA,,,,,,,,493.0
