Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Number,Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
Client 1 - A,1,287,148.44,435.44,2,taskA,3051.0,0.28,0.24,19429.0,0.29,0.25,287.0,445.0
Client 2 - A,1,198,237.69,435.69,2,taskA,,,,,,,,445.0
Client 3 - A,1,141,294.52,435.52,2,taskA,,,,,,,,445.0
Client 4 - A,1,190,246.18,436.18,2,taskA,,,,,,,,445.0
Client 1 - A,2,364,141.5,505.5,2,taskA,,,,,,,,506.0
Client 2 - A,2,292,213.51,505.51,2,taskA,,,,,,,,506.0
Client 3 - A,2,172,333.96,505.96,2,taskA,2606.0,0.39,0.37,16631.0,0.39,0.37,364.0,506.0
Client 4 - A,2,260,245.9,505.9,2,taskA,,,,,,,,506.0
Client 1 - A,3,189,154.28,343.28,2,taskA,2357.0,0.45,0.43,15114.0,0.45,0.43,189.0,344.0
Client 2 - A,3,175,168.35,343.35,2,taskA,,,,,,,,344.0
Client 3 - A,3,134,210.22,344.22,2,taskA,,,,,,,,344.0
Client 4 - A,3,170,173.88,343.88,2,taskA,,,,,,,,344.0
Client 1 - A,4,215,151.96,366.96000000000004,2,taskA,,,,,,,,367.0
Client 2 - A,4,195,171.66,366.65999999999997,2,taskA,,,,,,,,367.0
Client 3 - A,4,145,222.12,367.12,2,taskA,2175.0,0.5,0.49,14016.0,0.49,0.48,215.0,367.0
Client 4 - A,4,186,180.37,366.37,2,taskA,,,,,,,,367.0
Client 1 - A,5,322,147.42,469.41999999999996,2,taskA,2056.0,0.53,0.52,13309.0,0.52,0.52,322.0,469.0
Client 2 - A,5,255,214.37,469.37,2,taskA,,,,,,,,469.0
Client 3 - A,5,167,301.7,468.7,2,taskA,,,,,,,,469.0
Client 4 - A,5,223,245.67,468.66999999999996,2,taskA,,,,,,,,469.0
Client 1 - A,6,183,151.83,334.83000000000004,2,taskA,,,,,,,,334.0
Client 2 - A,6,173,161.42,334.41999999999996,2,taskA,,,,,,,,334.0
Client 3 - A,6,138,196.02,334.02,2,taskA,1956.0,0.55,0.55,12803.0,0.54,0.54,183.0,334.0
Client 4 - A,6,170,164.11,334.11,2,taskA,,,,,,,,334.0
Client 1 - A,7,337,171.69,508.69,2,taskA,,,,,,,,509.0
Client 2 - A,7,306,203.11,509.11,2,taskA,,,,,,,,509.0
Client 3 - A,7,163,346.15,509.15,2,taskA,1870.0,0.57,0.57,12361.0,0.55,0.55,337.0,509.0
Client 4 - A,7,261,247.4,508.4,2,taskA,,,,,,,,509.0
Client 1 - A,8,312,137.64,449.64,2,taskA,,,,,,,,450.0
Client 2 - A,8,280,169.95,449.95,2,taskA,,,,,,,,450.0
Client 3 - A,8,207,242.99,449.99,2,taskA,1795.0,0.59,0.58,11974.0,0.58,0.57,312.0,450.0
Client 4 - A,8,240,209.72,449.72,2,taskA,,,,,,,,450.0
Client 1 - A,9,343,131.61,474.61,2,taskA,,,,,,,,475.0
Client 2 - A,9,318,156.37,474.37,2,taskA,1728.0,0.61,0.61,11713.0,0.59,0.58,343.0,475.0
Client 3 - A,9,151,324.05,475.05,2,taskA,,,,,,,,475.0
Client 4 - A,9,210,264.11,474.11,2,taskA,,,,,,,,475.0
Client 1 - A,10,187,139.65,326.65,2,taskA,,,,,,,,326.0
Client 2 - A,10,173,153.08,326.08000000000004,2,taskA,,,,,,,,326.0
Client 3 - A,10,138,188.03,326.03,2,taskA,,,,,,,,326.0
Client 4 - A,10,167,159.37,326.37,2,taskA,1678.0,0.62,0.62,11526.0,0.59,0.59,187.0,326.0
