Client ID,Training Time,Communication Time,Total Time
9112,22.511311769485474,50.659801721572876,73.17111349105835
13816,22.78325915336609,51.158597469329834,73.94185662269592
15128,22.491157054901123,51.28874158859253,73.77989864349365
13184,22.590351104736328,51.40212941169739,73.99248051643372
9112,20.220292568206787,44.804404735565186,65.02469730377197
13816,20.354979038238525,45.44714879989624,65.80212783813477
15128,29.56838893890381,65.10142970085144,94.66981863975525
9112,29.710912466049194,65.17941904067993,94.89033150672913
13184,29.783369779586792,65.49060559272766,95.27397537231445
13816,29.99268651008606,66.04209589958191,96.03478240966797
15128,24.958448886871338,53.29218649864197,78.2506353855133
9112,25.116634130477905,53.81146693229675,78.92810106277466
