Client ID,FL Round,Training Time,Communication Time,Total Client Time,CPU Number,Task,Train Loss,Train Accuracy,Train F1,Val Loss,Val Accuracy,Val F1,Total Time of Training Round,Total Time of FL Round
Client 1 - A,1,405,133.66,538.66,1,taskA,,,,,,,,559.0
Client 2 - A,1,337,201.12,538.12,1,taskA,,,,,,,,559.0
Client 3 - A,1,84,454.21,538.21,1,taskA,,,,,,,,559.0
Client 4 - A,1,404,134.25,538.25,1,taskA,,,,,,,,559.0
Client 5 - A,1,263,275.74,538.74,1,taskA,,,,,,,,559.0
Client 6 - A,1,331,207.66,538.66,1,taskA,,,,,,,,559.0
Client 7 - A,1,388,150.25,538.25,1,taskA,1037.0,0.39,0.14,910.0,0.18,0.08,405.0,559.0
Client 8 - A,1,64,474.9,538.9,1,taskA,,,,,,,,559.0
Client 1 - A,2,286,158.26,444.26,1,taskA,,,,,,,,454.0
Client 2 - A,2,274,170.32,444.32,1,taskA,,,,,,,,454.0
Client 3 - A,2,87,357.68,444.68,1,taskA,,,,,,,,454.0
Client 4 - A,2,314,130.94,444.94,1,taskA,,,,,,,,454.0
Client 5 - A,2,208,236.55,444.55,1,taskA,,,,,,,,454.0
Client 6 - A,2,222,222.87,444.87,1,taskA,,,,,,,,454.0
Client 7 - A,2,289,155.64,444.64,1,taskA,922.0,0.47,0.2,828.0,0.22,0.14,314.0,454.0
Client 8 - A,2,57,387.88,444.88,1,taskA,,,,,,,,454.0
Client 1 - A,3,402,168.07,570.0699999999999,1,taskA,,,,,,,,579.0
Client 2 - A,3,299,270.54,569.54,1,taskA,,,,,,,,579.0
Client 3 - A,3,86,484.12,570.12,1,taskA,,,,,,,,579.0
Client 4 - A,3,372,198.24,570.24,1,taskA,,,,,,,,579.0
Client 5 - A,3,235,335.18,570.1800000000001,1,taskA,,,,,,,,579.0
Client 6 - A,3,266,304.27,570.27,1,taskA,851.0,0.5,0.24,792.0,0.25,0.17,402.0,579.0
Client 7 - A,3,353,216.56,569.56,1,taskA,,,,,,,,579.0
Client 8 - A,3,60,509.41,569.4100000000001,1,taskA,,,,,,,,579.0
Client 1 - A,4,337,111.7,448.7,1,taskA,,,,,,,,458.0
Client 2 - A,4,297,152.29,449.28999999999996,1,taskA,,,,,,,,458.0
Client 3 - A,4,82,366.85,448.85,1,taskA,,,,,,,,458.0
Client 4 - A,4,353,95.81,448.81,1,taskA,,,,,,,,458.0
Client 5 - A,4,234,214.91,448.90999999999997,1,taskA,799.0,0.53,0.26,745.0,0.28,0.19,353.0,458.0
Client 6 - A,4,273,176.02,449.02,1,taskA,,,,,,,,458.0
Client 7 - A,4,328,121.1,449.1,1,taskA,,,,,,,,458.0
Client 8 - A,4,61,388.24,449.24,1,taskA,,,,,,,,458.0
Client 1 - A,5,427,115.12,542.12,1,taskA,,,,,,,,551.0
Client 2 - A,5,347,194.79,541.79,1,taskA,,,,,,,,551.0
Client 3 - A,5,87,454.55,541.55,1,taskA,,,,,,,,551.0
Client 4 - A,5,427,115.2,542.2,1,taskA,,,,,,,,551.0
Client 5 - A,5,307,235.21,542.21,1,taskA,,,,,,,,551.0
Client 6 - A,5,405,136.52,541.52,1,taskA,,,,,,,,551.0
Client 7 - A,5,407,134.4,541.4,1,taskA,,,,,,,,551.0
Client 8 - A,5,62,480.24,542.24,1,taskA,761.0,0.55,0.29,728.0,0.3,0.21,427.0,551.0
Client 1 - A,6,324,126.07,450.07,1,taskA,,,,,,,,459.0
Client 2 - A,6,296,153.73,449.73,1,taskA,762.0,0.56,0.3,719.0,0.3,0.22,344.0,459.0
Client 3 - A,6,78,371.6,449.6,1,taskA,,,,,,,,459.0
Client 4 - A,6,344,105.55,449.55,1,taskA,,,,,,,,459.0
Client 5 - A,6,219,230.77,449.77,1,taskA,,,,,,,,459.0
Client 6 - A,6,269,181.07,450.07,1,taskA,,,,,,,,459.0
Client 7 - A,6,325,124.57,449.57,1,taskA,,,,,,,,459.0
Client 8 - A,6,56,394.2,450.2,1,taskA,,,,,,,,459.0
Client 1 - A,7,406,155.79,561.79,1,taskA,,,,,,,,571.0
Client 2 - A,7,296,265.25,561.25,1,taskA,,,,,,,,571.0
Client 3 - A,7,83,479.01,562.01,1,taskA,,,,,,,,571.0
Client 4 - A,7,390,171.57,561.5699999999999,1,taskA,717.0,0.58,0.32,682.0,0.33,0.25,406.0,571.0
Client 5 - A,7,245,316.38,561.38,1,taskA,,,,,,,,571.0
Client 6 - A,7,318,243.19,561.19,1,taskA,,,,,,,,571.0
Client 7 - A,7,360,201.77,561.77,1,taskA,,,,,,,,571.0
Client 8 - A,7,58,503.31,561.31,1,taskA,,,,,,,,571.0
Client 1 - A,8,392,122.62,514.62,1,taskA,,,,,,,,523.0
Client 2 - A,8,308,206.49,514.49,1,taskA,,,,,,,,523.0
Client 3 - A,8,84,430.09,514.0899999999999,1,taskA,,,,,,,,523.0
Client 4 - A,8,388,126.11,514.11,1,taskA,691.0,0.6,0.34,666.0,0.34,0.26,392.0,523.0
Client 5 - A,8,258,256.21,514.21,1,taskA,,,,,,,,523.0
Client 6 - A,8,310,204.92,514.92,1,taskA,,,,,,,,523.0
Client 7 - A,8,373,141.42,514.42,1,taskA,,,,,,,,523.0
Client 8 - A,8,59,455.79,514.79,1,taskA,,,,,,,,523.0
Client 1 - A,9,430,152.9,582.9,1,taskA,,,,,,,,592.0
Client 2 - A,9,332,251.09,583.09,1,taskA,,,,,,,,592.0
Client 3 - A,9,98,484.24,582.24,1,taskA,,,,,,,,592.0
Client 4 - A,9,412,170.9,582.9,1,taskA,,,,,,,,592.0
Client 5 - A,9,286,296.52,582.52,1,taskA,,,,,,,,592.0
Client 6 - A,9,321,261.21,582.21,1,taskA,,,,,,,,592.0
Client 7 - A,9,393,189.81,582.81,1,taskA,668.0,0.61,0.35,651.0,0.35,0.27,430.0,592.0
Client 8 - A,9,64,518.34,582.34,1,taskA,,,,,,,,592.0
Client 1 - A,10,322,118.78,440.78,1,taskA,,,,,,,,450.0
Client 2 - A,10,273,168.55,441.55,1,taskA,,,,,,,,450.0
Client 3 - A,10,80,360.62,440.62,1,taskA,,,,,,,,450.0
Client 4 - A,10,343,98.37,441.37,1,taskA,661.0,0.62,0.36,657.0,0.35,0.27,343.0,450.0
Client 5 - A,10,217,224.29,441.28999999999996,1,taskA,,,,,,,,450.0
